"org_id","cluster_id","devices","node_name","mount_point","total_size","used_space","available_space","ts"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var/lib/google",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var/lib/docker",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var/lib/toolbox",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var/lib/kubelet",16656896000,9083691008,7556427776,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var/lib/containerd",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/var",16656896000,9083682816,7556435968,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda8']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/usr/share/oem",11513856,24576,11157504,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sdd','/dev/sde']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/tmp/raid-test",8339849216,28672,7894073344,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/mapper/test--vg-test--lv']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/tmp/lvm-test",8341946368,24576,7896068096,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/mnt/stateful_partition",16656896000,9083682816,7556435968,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sdc']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/mnt/disks/ssd1",395188764672,28672,375039299584,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sdb']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/mnt/disks/ssd0",395188764672,28672,375039299584,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/kubernetes/flexvolume",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/kubernetes/containerized_mounter/rootfs/var/lib/kubelet",16656896000,9083695104,7556423680,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/kubernetes/containerized_mounter/rootfs/var/lib/kubelet",16656896000,9083691008,7556427776,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/kubernetes/containerized_mounter",16656896000,9083691008,7556427776,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/kubernetes/bin",16656896000,9083686912,7556431872,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home/containerd",16656896000,9083691008,7556427776,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/sda1']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/home",16656896000,9083682816,7556435968,"2025-09-03 12:24:06.757"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","['/dev/dm-0']","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","/",2068168704,1276272640,791896064,"2025-09-03 12:24:06.757"
